n_tokens_content,0,1
35.0,1,0
47.0,1,0
57.0,2,0
65.0,1,0
66.0,0,1
67.0,1,0
73.0,2,1
74.0,1,0
75.0,1,0
76.0,1,0
77.0,2,0
78.0,1,0
79.0,1,0
80.0,1,0
83.0,1,0
85.0,1,0
86.0,1,0
87.0,1,0
88.0,1,0
89.0,2,0
90.0,1,1
91.0,0,1
93.0,0,2
95.0,1,0
96.0,1,0
98.0,1,0
100.0,3,0
101.0,2,1
102.0,1,0
103.0,2,0
104.0,1,1
105.0,2,0
106.0,1,0
107.0,0,2
108.0,1,0
109.0,4,0
110.0,2,0
111.0,2,1
113.0,3,1
114.0,2,0
115.0,4,0
116.0,4,1
118.0,2,0
119.0,1,0
120.0,1,0
121.0,1,0
122.0,1,0
123.0,4,1
124.0,2,0
125.0,2,0
126.0,3,0
127.0,4,0
128.0,4,2
129.0,3,0
130.0,2,0
131.0,1,1
132.0,1,0
133.0,5,0
134.0,6,0
135.0,4,2
136.0,5,1
137.0,3,2
138.0,5,3
139.0,4,0
140.0,3,0
141.0,0,1
142.0,4,0
143.0,3,0
144.0,2,0
145.0,4,0
146.0,2,2
147.0,3,1
148.0,3,0
149.0,4,0
150.0,4,1
151.0,4,1
152.0,1,2
153.0,4,1
154.0,7,1
155.0,2,2
156.0,3,2
157.0,1,0
158.0,6,0
159.0,4,1
160.0,3,1
161.0,3,2
162.0,6,1
163.0,6,0
164.0,6,0
165.0,5,1
166.0,6,2
167.0,6,4
168.0,9,2
169.0,2,0
170.0,3,1
171.0,3,2
172.0,2,3
173.0,3,4
174.0,6,3
175.0,7,1
176.0,2,0
177.0,6,1
178.0,6,3
179.0,10,2
180.0,9,1
181.0,9,0
182.0,6,1
183.0,0,1
184.0,6,0
185.0,3,1
186.0,5,1
187.0,3,2
188.0,2,2
189.0,7,2
190.0,10,3
191.0,7,2
192.0,6,1
193.0,3,4
194.0,3,1
195.0,6,1
196.0,5,1
197.0,11,1
198.0,4,2
199.0,3,2
200.0,6,1
201.0,7,3
202.0,2,3
203.0,8,4
204.0,6,2
205.0,11,1
206.0,2,1
207.0,3,0
208.0,3,2
209.0,8,4
210.0,6,3
211.0,7,1
212.0,8,3
213.0,6,2
214.0,8,2
215.0,9,3
216.0,3,0
217.0,8,2
218.0,8,1
219.0,8,2
220.0,9,1
221.0,4,1
222.0,7,3
223.0,5,3
224.0,11,1
225.0,4,3
226.0,2,1
227.0,9,2
228.0,13,0
229.0,10,2
230.0,10,2
231.0,10,2
232.0,9,3
233.0,10,3
234.0,6,3
235.0,6,2
236.0,4,1
237.0,10,1
238.0,7,1
239.0,4,1
240.0,10,2
241.0,9,5
242.0,7,1
243.0,7,1
244.0,7,3
245.0,7,0
246.0,12,1
247.0,4,1
248.0,8,0
249.0,7,3
250.0,7,1
251.0,6,1
252.0,8,1
253.0,5,4
254.0,7,2
255.0,8,2
256.0,7,2
257.0,4,0
258.0,12,6
259.0,7,3
260.0,6,1
261.0,12,3
262.0,14,2
263.0,6,0
264.0,10,3
265.0,10,4
266.0,9,1
267.0,10,1
268.0,9,1
269.0,8,2
270.0,5,1
271.0,9,2
272.0,8,3
273.0,14,5
274.0,13,4
275.0,14,3
276.0,10,2
277.0,8,2
278.0,12,0
279.0,14,3
280.0,10,1
281.0,8,4
282.0,14,2
283.0,14,1
284.0,12,2
285.0,7,1
286.0,15,2
287.0,11,6
288.0,9,2
289.0,11,3
290.0,10,1
291.0,13,4
292.0,8,1
293.0,9,0
294.0,10,2
295.0,4,2
296.0,8,2
297.0,14,2
298.0,7,1
299.0,7,2
300.0,7,2
301.0,12,3
302.0,8,1
303.0,11,5
304.0,5,5
305.0,7,3
306.0,8,1
307.0,8,0
308.0,12,2
309.0,11,2
310.0,11,4
311.0,13,1
312.0,9,2
313.0,7,4
314.0,8,3
315.0,10,5
316.0,10,1
317.0,9,6
318.0,9,2
319.0,4,1
320.0,8,3
321.0,10,1
322.0,10,0
323.0,4,3
324.0,7,0
325.0,11,1
326.0,7,2
327.0,13,2
328.0,12,4
329.0,7,1
330.0,6,1
331.0,7,3
332.0,12,1
333.0,9,3
334.0,6,1
335.0,14,2
336.0,9,5
337.0,11,4
338.0,7,2
339.0,9,1
340.0,12,5
341.0,11,1
342.0,3,3
343.0,9,0
344.0,7,3
345.0,11,1
346.0,9,1
347.0,10,2
348.0,10,4
349.0,5,3
350.0,8,1
351.0,9,4
352.0,14,0
353.0,6,6
354.0,13,4
355.0,5,3
356.0,10,5
357.0,8,1
358.0,6,4
359.0,10,0
360.0,11,4
361.0,12,1
362.0,9,0
363.0,8,1
364.0,9,2
365.0,10,2
366.0,8,1
367.0,12,1
368.0,11,1
369.0,8,0
370.0,6,2
371.0,6,2
372.0,3,3
373.0,14,1
374.0,6,0
375.0,9,2
376.0,10,3
377.0,8,2
378.0,5,5
379.0,9,3
380.0,10,3
381.0,7,2
382.0,7,3
383.0,6,0
384.0,4,1
385.0,11,1
386.0,6,3
387.0,4,2
388.0,13,1
389.0,7,5
390.0,8,2
391.0,12,4
392.0,12,2
393.0,8,4
394.0,11,1
395.0,14,1
396.0,7,1
397.0,9,2
398.0,10,0
399.0,16,3
400.0,7,0
401.0,7,0
402.0,3,1
403.0,4,5
404.0,8,3
405.0,7,3
406.0,7,1
407.0,5,0
408.0,4,0
409.0,5,1
410.0,12,5
411.0,5,2
412.0,6,0
413.0,12,1
414.0,5,1
415.0,7,0
416.0,8,3
417.0,6,0
418.0,9,1
419.0,9,2
420.0,10,3
421.0,5,1
422.0,9,2
423.0,11,0
424.0,4,1
425.0,6,2
426.0,7,1
427.0,10,1
428.0,12,1
429.0,10,2
430.0,9,2
431.0,4,2
432.0,8,5
433.0,6,0
434.0,10,1
435.0,12,1
436.0,12,1
437.0,18,2
438.0,6,1
439.0,7,3
440.0,8,2
441.0,9,0
442.0,8,0
443.0,5,1
444.0,9,0
445.0,8,3
446.0,6,2
447.0,8,1
448.0,3,0
449.0,8,1
450.0,10,2
451.0,8,2
452.0,15,4
453.0,7,2
454.0,4,2
455.0,6,1
456.0,3,2
457.0,7,1
458.0,5,0
459.0,9,2
460.0,9,2
461.0,7,2
462.0,4,1
463.0,5,2
464.0,7,2
465.0,8,0
466.0,5,1
467.0,6,1
468.0,5,1
469.0,14,2
470.0,4,1
471.0,7,1
472.0,10,2
473.0,6,3
